Date,CP,n_headlines,sentiment_mean,sentiment_std,positive_share,negative_share,neutral_share,pos_score_mean,neg_score_mean,sentiment_trend,sentiment_reversal,sentiment_change,return_1d,return_5d,volatility_5d,roll_max_5d,roll_min_5d,cp_lag1,cp_lag2,fwd_return,target
2023-11-02,4317.78,17,0.1176470588235294,0.9926198253344828,0.5294117647058824,0.4117647058823529,0.0588235294117647,0.48569706,0.43497494,0.1915966386554621,1,0.2605042016806722,0.018858574846738696,0.043640310062529775,0.008726161434214482,4317.78,4117.37,4237.86,4193.8,0.014034990203299014,1
2023-11-03,4358.34,13,0.0769230769230769,0.8623164985025763,0.3846153846153846,0.3076923076923077,0.3076923076923077,0.38270572,0.31539756,0.0172376642964878,0,-0.0407239819004524,0.009393716215277292,0.05852522362576118,0.004611701166722223,4358.34,4166.82,4317.78,4237.86,0.005607639605904824,1
2023-11-06,4365.98,25,0.24,0.879393730551528,0.52,0.28,0.2,0.5137813,0.30068362,0.1448567119155354,0,0.163076923076923,0.0017529609897344312,0.04779664108360815,0.006279349029857409,4365.98,4193.8,4358.34,4317.78,-0.004267083220720003,0
2023-11-07,4378.38,24,-0.1666666666666666,0.8681147322824311,0.2916666666666667,0.4583333333333333,0.25,0.29632154,0.46690944,0.05008547008547,1,-0.4066666666666666,0.0028401412741241305,0.044012590013829955,0.006883573647368767,4378.38,4237.86,4365.98,4358.34,0.008418638857294214,1
2023-11-08,4382.78,23,-0.1739130434782608,0.936733876686023,0.3478260869565217,0.5217391304347826,0.1304347826086956,0.36601868,0.51684016,-0.0335265700483091,0,-0.0072463768115942,0.0010049378994057,0.03419650483970682,0.0075310679793962245,4382.78,4317.78,4378.38,4365.98,0.006564326751514082,1
2023-11-09,4347.35,19,-0.2105263157894736,0.8549819600709617,0.2631578947368421,0.4736842105263157,0.2631578947368421,0.27696356,0.44646144,-0.1837020086448004,0,-0.0366132723112128,-0.008083910212239531,0.006848426737814384,0.006248940225978953,4382.78,4347.35,4382.78,4378.38,0.034124236603908065,1
2023-11-10,4415.24,15,-0.4,0.8280786712108251,0.2,0.6,0.2,0.2429109,0.5688712,-0.2614797864225782,0,-0.1894736842105263,0.01561640999689451,0.013055429360719906,0.008468896393805584,4415.24,4347.35,4347.35,4382.78,0.019849430608528618,1
2023-11-13,4411.55,23,0.3043478260869565,0.8756702684071968,0.5652173913043478,0.2608695652173913,0.1739130434782608,0.582405,0.2532909,-0.1020594965675057,1,0.7043478260869566,-0.0008357416584374722,0.010437519182405985,0.008613515042334369,4415.24,4347.35,4415.24,4347.35,0.02191746665004346,1
2023-11-14,4495.7,21,0.0952380952380952,0.9436504599035548,0.4761904761904761,0.3809523809523809,0.1428571428571428,0.47098964,0.38961035,-0.0001380262249827,0,-0.2091097308488613,0.01907492831317792,0.026795298717790628,0.011525901242078517,4495.7,4347.35,4411.55,4415.24,0.004075005004782417,0
2023-11-15,4502.88,18,-0.0555555555555555,0.9375953110592338,0.3888888888888889,0.4444444444444444,0.1666666666666666,0.3396671,0.48936903,0.114676788589832,1,-0.1507936507936507,0.001597081655804411,0.027402698743719922,0.011472946397816944,4502.88,4347.35,4495.7,4411.55,0.009882564047898335,1
